# BW_elec	BER_teo_H	BER_teo_S	BER_est_H	BER_est_S	BER_count_H	BER_count_S
5.000000e+08	1.960802e-12	2.960595e-16	1.213915e-01	3.375759e-02	2.294800e-01	1.891000e-02
5.923055e+08	9.533026e-11	7.401487e-16	1.202068e-01	3.448108e-02	7.319000e-02	2.450000e-03
7.016517e+08	2.559208e-09	6.890784e-14	7.769609e-02	1.894471e-02	4.404000e-02	0.000000e+00
8.311844e+08	4.160369e-08	5.601667e-12	9.897126e-03	5.438376e-04	4.350000e-03	0.000000e+00
9.846302e+08	4.427134e-07	2.320284e-10	3.840845e-04	2.620665e-06	1.500000e-04	0.000000e+00
1.166404e+09	3.293098e-06	5.399128e-09	5.161713e-05	3.530737e-07	0.000000e+00	0.000000e+00
1.381735e+09	1.809840e-05	7.731447e-08	1.571097e-05	1.415236e-07	0.000000e+00	0.000000e+00
1.636819e+09	7.700475e-05	7.345106e-07	2.594274e-05	4.532390e-07	0.000000e+00	0.000000e+00
1.938993e+09	2.638345e-04	4.935458e-06	5.398210e-05	1.308461e-06	1.600000e-04	0.000000e+00
2.296953e+09	7.524359e-04	2.475798e-05	1.644858e-04	6.076450e-06	1.600000e-04	0.000000e+00
2.720996e+09	1.836628e-03	9.704436e-05	4.764404e-04	2.623576e-05	2.900000e-04	0.000000e+00
3.223322e+09	3.927656e-03	3.088907e-04	1.110559e-03	8.154986e-05	6.700000e-04	0.000000e+00
3.818383e+09	7.504440e-03	8.247259e-04	2.505357e-03	2.452265e-04	1.120000e-03	0.000000e+00
4.523299e+09	1.302342e-02	1.898268e-03	4.641362e-03	5.569818e-04	2.100000e-03	0.000000e+00
5.358350e+09	2.081492e-02	3.854293e-03	8.195989e-03	1.250263e-03	3.890000e-03	1.400000e-04
6.347561e+09	3.099969e-02	7.038478e-03	1.173888e-02	2.041474e-03	6.670000e-03	4.700000e-04
7.519391e+09	4.345003e-02	1.174959e-02	1.695628e-02	3.343213e-03	1.126000e-02	9.000000e-04
8.907553e+09	5.780156e-02	1.817609e-02	2.283065e-02	5.095078e-03	1.814000e-02	2.000000e-03
1.055199e+10	7.350414e-02	2.635524e-02	2.854026e-02	7.046516e-03	2.514000e-02	3.940000e-03
1.250000e+10	8.989071e-02	3.616193e-02	3.432035e-02	9.148369e-03	3.278000e-02	6.500000e-03
