# Potencia media	BER_teo_H	 BER_teo_S	       BER_est_H	BER_est_S	    BER_count_H 	BER_count_S
-6.504120e+01	3.116317e-01	3.022656e-01	1.830004e-01	1.008253e-01	4.210000e-01	2.937600e-01
-6.404120e+01	2.876545e-01	2.504869e-01	1.836016e-01	1.072599e-01	3.966900e-01	2.354600e-01
-6.304120e+01	2.538025e-01	1.937407e-01	1.820096e-01	1.125380e-01	3.715800e-01	1.784400e-01
-6.204120e+01	2.101834e-01	1.368746e-01	1.805404e-01	1.187297e-01	3.366800e-01	1.237300e-01
-6.104120e+01	1.595337e-01	8.602984e-02	1.736541e-01	1.199742e-01	2.709000e-01	7.052000e-02
-6.004120e+01	1.077546e-01	4.659746e-02	1.401049e-01	9.031201e-02	1.247000e-01	3.220000e-02
-5.904120e+01	6.254956e-02	2.092847e-02	8.275052e-02	4.385728e-02	5.525000e-02	1.075000e-02
-5.804120e+01	2.998352e-02	7.437686e-03	3.551369e-02	1.364637e-02	2.313000e-02	1.920000e-03
-5.704120e+01	1.132972e-02	1.974701e-03	1.006500e-02	2.463121e-03	8.750000e-03	1.700000e-04
-5.604120e+01	3.186754e-03	3.647487e-04	2.212615e-03	3.349937e-04	3.170000e-03	0.000000e+00
-5.504120e+01	6.193208e-04	4.288287e-05	4.017493e-04	3.877677e-05	8.400000e-04	0.000000e+00
-5.404120e+01	7.536104e-05	2.869947e-06	4.887604e-05	2.944850e-06	1.500000e-04	0.000000e+00
-5.304120e+01	5.048343e-06	9.499456e-08	3.570964e-06	1.283110e-07	0.000000e+00	0.000000e+00
-5.204120e+01	1.577706e-07	1.157733e-09	1.349451e-07	2.007984e-09	0.000000e+00	0.000000e+00
-5.104120e+01	1.862588e-09	5.784055e-12	3.038238e-09	3.638299e-11	0.000000e+00	0.000000e+00
-5.004120e+01	6.353199e-12	7.223851e-15	1.096036e-11	3.694822e-14	0.000000e+00	0.000000e+00
-4.904120e+01	4.736952e-15	2.368476e-16	1.515825e-14	2.368476e-16	0.000000e+00	0.000000e+00
-4.804120e+01	0.000000e+00	2.368476e-16	0.000000e+00	2.368476e-16	0.000000e+00	0.000000e+00
