# Potencia media	BER_teo_H	BER_teo_S	BER_est_H	BER_est_S	BER_count_H	BER_count_S
-6.503090e+01	3.627657e-01	3.588766e-01	1.784259e-01	7.518457e-02	4.030140e-01	3.325033e-01
-6.403090e+01	3.501296e-01	3.205374e-01	1.789357e-01	7.917727e-02	3.781538e-01	2.911229e-01
-6.303090e+01	3.298718e-01	2.746159e-01	1.776819e-01	8.284082e-02	3.485635e-01	2.422124e-01
-6.203090e+01	3.001761e-01	2.222845e-01	1.747283e-01	8.714318e-02	3.148231e-01	1.864319e-01
-6.103090e+01	2.600488e-01	1.666724e-01	1.685433e-01	8.727134e-02	2.592926e-01	1.323613e-01
-6.003090e+01	2.103277e-01	1.128977e-01	1.570828e-01	8.418144e-02	1.972820e-01	8.036080e-02
-5.903090e+01	1.548039e-01	6.695284e-02	1.281920e-01	6.461282e-02	1.144111e-01	4.019040e-02
-5.803090e+01	1.004152e-01	3.344958e-02	8.716753e-02	3.692404e-02	6.193062e-02	1.455015e-02
-5.703090e+01	5.524237e-02	1.343242e-02	4.722453e-02	1.563565e-02	2.980030e-02	4.100041e-03
-5.603090e+01	2.463668e-02	4.094593e-03	1.851614e-02	4.089867e-03	1.102011e-02	7.800078e-04
-5.503090e+01	8.436642e-03	8.833934e-04	5.239235e-03	7.077101e-04	3.160032e-03	0.000000e+00
-5.403090e+01	2.071729e-03	1.237402e-04	1.105224e-03	8.702097e-05	8.500085e-04	0.000000e+00
-5.303090e+01	3.335653e-04	1.010988e-05	2.018931e-04	1.051803e-05	1.700017e-04	0.000000e+00
-5.203090e+01	3.129763e-05	4.214166e-07	1.698050e-05	4.239261e-07	0.000000e+00	0.000000e+00
-5.103090e+01	1.468364e-06	7.575723e-09	7.389730e-07	8.693715e-09	0.000000e+00	0.000000e+00
-5.003090e+01	2.830832e-08	4.759812e-11	2.369292e-08	9.634795e-11	0.000000e+00	0.000000e+00
-4.903090e+01	1.746544e-10	7.644679e-14	1.395739e-10	2.237575e-13	0.000000e+00	0.000000e+00
-4.803090e+01	2.512276e-13	3.172066e-16	6.597897e-13	7.612958e-16	0.000000e+00	0.000000e+00
